Command_Name,PostableCommandName,Description,CanHaveBinding,NeedBinding,CanWorkWithSelection,Code
Acquire Coordinates,AcquireCoordinates,Acquires the coordinate system from a linked model,TRUE,TRUE,FALSE,
ACRD Content Conversion,ACRDContentConversion,Converts ACRD content for use in the current project,TRUE,FALSE,FALSE,ID_ACRD_CONTENT_CONVERSION
Activate Controls and Dimensions,ActivateControlsAndDimensions,Activates controls and dimensions for element editing,TRUE,FALSE,FALSE,
Activate View,ActivateView,Activates a view on a sheet for editing,TRUE,FALSE,FALSE,
Add Compressed Fabrication Configuration,AddFabricationConfigZip,Adds a compressed fabrication configuration from a zip file,TRUE,FALSE,FALSE,ID_ADD_FABRICATION_CONFIGURATION_ZIP
Add Elements (Analytical),AnalyticalAddElements,Adds elements to the analytical model automation,TRUE,FALSE,FALSE,ID_ANALYTICAL_AUTOMATION_EDIT_MODE_ADD
Add Fabrication Configuration Folder,AddFabricationConfigFolder,Adds a fabrication configuration from a local folder,TRUE,FALSE,FALSE,ID_ADD_FABRICATION_CONFIGURATION
Add Landings,AddLandings,Adds landings at each level to a multi-story stair,TRUE,FALSE,FALSE,ID_ADD_ALL_LEVEL_LANDINGS
Add Leader,AddLeader,Adds a leader line to a selected annotation element,TRUE,FALSE,TRUE,ID_FAMINST_ADDLEADER
Add Non-Planar Sketch,AddNonPlanarSketch,Adds a non-planar sketch to the current element,TRUE,FALSE,FALSE,ID_ADD_NON_PLANAR_SKETCH
Add Point,AddPoint,Adds a shape editing point to a slab or roof,TRUE,FALSE,FALSE,ID_DRAW_SLAB_SHAPE_VERTEX
Add Spline Control,AddSplineControl,Adds a control point to a spline curve,TRUE,FALSE,FALSE,IDC_SPLINE_ADD_CONTROL
Add Split Line,AddSplitLine,Adds a split line to a slab or roof for shape editing,TRUE,FALSE,FALSE,ID_DRAW_SLAB_SHAPE_LINES
Add Swept Blend Profile,AddSweptBlendProfile,Adds a profile to a swept blend form,TRUE,FALSE,FALSE,ID_ADD_SWEPT_BLEND_PROFILE
Add to Analytical Relation,AddToAnalyticalRelation,Adds selected elements to an analytical relation,TRUE,FALSE,TRUE,ID_ANALYTICAL_RELATIONSHIP_EDIT_MODE_ADD
Add to Displacement,AddToDisplacement,Adds elements to a displacement set for exploded views,TRUE,FALSE,TRUE,ID_DISPLACEMENT_ADD_ELEMENT
Add to Group,AddToGroup,Adds selected elements to an existing group,TRUE,TRUE,TRUE,ID_EDITGROUP_ADD_TO_GROUP
Add to Light Group,AddToLightGroup,Adds a light fixture to a light group,TRUE,FALSE,FALSE,ID_ADD_LIGHT_TO_GROUP
Add to Mechanical Equipment Set,AddToMechanicalEquipmentSet,Adds equipment to a mechanical equipment set,TRUE,FALSE,FALSE,ID_MECHANICAL_EQUIPMENT_SET_ADD
Add to Set,AddToSet,Adds selected elements to the current selection set,TRUE,FALSE,TRUE,
Add User Comment,AddUserComment,Adds a user comment to the model,TRUE,FALSE,FALSE,ID_USER_COMMENT
Add Vertical,AddVertical,Adds a vertical segment to a duct or pipe run,TRUE,FALSE,FALSE,ID_RBS_BTN_MAINTAIN_SLOPE
Adjust Analytical Model,AdjustAnalyticalModel,Adjusts the analytical model to match physical elements,TRUE,FALSE,TRUE,
Air Terminal,AirTerminal,Places an air terminal (diffuser or register) in a duct system,TRUE,TRUE,FALSE,ID_RBS_MECHANICAL_AIR_TERMINAL
Align,Align,Aligns one or more elements with a selected element,TRUE,TRUE,TRUE,ID_ALIGN
Align Elements Bottom,AlignElementsBottom,Aligns selected elements to the bottommost element,TRUE,FALSE,FALSE,ID_TEXTNOTE_BOTTOM_ALIGN
Align Elements Center Horizontal,AlignElementsCenterHorizontal,Aligns selected elements to their horizontal center,TRUE,FALSE,FALSE,ID_TEXTNOTE_CENTER_HOR_ALIGN
Align Elements Left,AlignElementsLeft,Aligns selected elements to the leftmost element,TRUE,FALSE,FALSE,ID_TEXTNOTE_LEFT_ALIGN
Align Elements Middle Vertical,AlignElementsMiddleVertical,Aligns selected elements to their vertical middle,TRUE,FALSE,FALSE,ID_TEXTNOTE_CENTER_VERT_ALIGN
Align Elements Right,AlignElementsRight,Aligns selected elements to the rightmost element,TRUE,FALSE,FALSE,ID_TEXTNOTE_RIGHT_ALIGN
