S.No,Swagger Section,HTTP Method,Endpoint,Description,Source File,Category
1,00-Password Validation,POST,/api/v1/common/password/validate,,,
2,00-Password Validation,GET,/api/v1/common/password/policy,,,
3,00A-Role Management,GET,/api/v1/common/roles,,,
4,00A-Role Management,POST,/api/v1/common/roles,,,
5,00A-Role Management,GET,/api/v1/common/roles/provider,,,
6,00A-Role Management,GET,/api/v1/common/roles/tenant,,,
7,00A-Role Management,GET,/api/v1/common/roles/{roleId},,,
8,00A-Role Management,PUT,/api/v1/common/roles/{roleId},,,
9,00A-Role Management,DELETE,/api/v1/common/roles/{roleId},,,
10,00A-Role Management,PUT,/api/v1/common/roles/{roleId}/permissions,,,
11,00A-Role Management,GET,/api/v1/common/roles/{roleId}/permissions,,,
12,00A-Role Management,GET,/api/v1/common/roles/permissions,,,
13,00B-Reference Data,GET,/api/v1/common/countries,,,
14,00B-Reference Data,GET,/api/v1/common/industries,,,
15,01-Provider Authentication,POST,/api/v1/provider/auth/login,,,
16,01-Provider Authentication,POST,/api/v1/provider/auth/refresh,,,
17,01-Provider Authentication,POST,/api/v1/provider/auth/logout,,,
18,01-Provider Authentication,GET,/api/v1/provider/auth/me,,,
19,01-Provider Authentication,POST,/api/v1/provider/auth/exchange-code,,,
20,02-Provider Users Management,POST,/api/v1/provider/users/invite,,,
21,02-Provider Users Management,POST,/api/v1/provider/users/complete,,,
22,02-Provider Users Management,GET,/api/v1/provider/users,,,
23,02-Provider Users Management,GET,/api/v1/provider/users/{userId},,,
24,02-Provider Users Management,DELETE,/api/v1/provider/users/{userId},,,
25,02-Provider Users Management,PUT,/api/v1/provider/users/invitations/cancel,,,
26,02-Provider Users Management,GET,/api/v1/provider/users/ListOfinvitations,,,
27,02-Provider Users Management,POST,/api/v1/provider/users/forgot-password,,,
28,02-Provider Users Management,POST,/api/v1/provider/users/reset-password,,,
29,02-Provider Users Management,PUT,/api/v1/provider/users/{userId}/Update-profile,,,
30,02-Provider Users Management,PUT,/api/v1/provider/users/{userId}/change-role,,,
31,03-Module Management,POST,/api/v1/master/modules,,,
32,03-Module Management,GET,/api/v1/master/modules,,,
33,03-Module Management,GET,/api/v1/master/modules/{moduleId},,,
34,03-Module Management,PUT,/api/v1/master/modules/{moduleId},,,
35,03-Module Management,DELETE,/api/v1/master/modules/{moduleId},,,
36,04-Subscription Plan Management,POST,/api/v1/master/subscription-plans,,,
37,04-Subscription Plan Management,GET,/api/v1/master/subscription-plans,,,
38,04-Subscription Plan Management,GET,/api/v1/master/subscription-plans/{planId},,,
39,04-Subscription Plan Management,PUT,/api/v1/master/subscription-plans/{planId},,,
40,04-Subscription Plan Management,DELETE,/api/v1/master/subscription-plans/{planId},,,
41,04-Subscription Plan Management,POST,/api/v1/master/subscription-plans/{planId}/modules,,,
